NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,Mol
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3D80>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6612,CC(C)COC(=O)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3D10>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3CA0>
0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3C30>
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TOX14833,O=C([O-])Cc1cccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3BC0>
0.0,0.0,0.0,,0.0,,,,,0.0,,,TOX26529,CCCCCCCCCCOCC(O)CN,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3B50>
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,TOX26524,CCN(CC)C(=O)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3AE0>
0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,TOX26525,COc1cc(O)cc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3A70>
,,,,,,,0.0,,0.0,,,TOX26526,CCOC(=O)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3A00>
0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3990>
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26523,O=C(O)[C@H](O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3920>
0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F38B0>
0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3840>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F37D0>
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3760>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1883,C#CCO,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3680>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX4463,Nc1ccccc1S(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3610>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1885,CC(O)CC(C)(C)O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3530>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1886,CC(C)(C)CC(C)(C)N,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F34C0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1889,CC(=O)CC(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F33E0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1888,CCCC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3370>
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4465,Nc1nc2ccccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3300>
0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3290>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX161,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3220>
0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F31B0>
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3140>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX22187,CCCCNC(=S)NCCCC,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F30D0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22188,CCCCNC(=O)NCCCC,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F3060>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22189,CC(C)N(c1ccccc1)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2FF0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7876,CCc1cccc(C)c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2F80>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2EA0>
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2E30>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2DC0>
0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2D50>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2CE0>
0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4113,CCOP(=S)(CC)Sc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2C70>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27698,CC/C=C\CCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2C00>
,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2B90>
0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2B20>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX10138,CC(=O)CCC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2AB0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21464,N#CCCNCCC#N,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2A40>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F29D0>
0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2960>
0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F28F0>
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2880>
0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2810>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27071,Cc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F27A0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27070,Cc1nc(C)c(C)nc1C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2730>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27072,CC1=CC(O)CC(C)(C)C1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F26C0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27075,Cc1cnc(C)c(C)n1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2650>
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27074,CC(C)COC(=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F25E0>
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2570>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2500>
0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2490>
0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24915,CC1COc2ccccc2N1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2420>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F23B0>
0.0,,0.0,,,,,,0.0,,,,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2340>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24911,CC(C)CCCCCOC(=O)CCS,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F22D0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2260>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F21F0>
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2180>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX9739,F[B-](F)(F)F.[H+],<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2110>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F20A0>
0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX6050,C(=C/c1ccccc1)\c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F2030>
0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX5649,Cc1ccc2c(ccc3ccccc32)c1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1FC0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1F50>
0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1EE0>
0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,0.0,TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1E70>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2617,COC(=O)C1=CCCN(C)C1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1E00>
,,,,,,,0.0,,0.0,,,TOX2611,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1D90>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1D20>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1CB0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1C40>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27158,CCCCCC(C)O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1BD0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX1708,O=C([O-])c1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1B60>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1709,NC(=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1AF0>
,,,,,,,0.0,,0.0,,,TOX25756,CCN1CCc2nc(N)oc2CC1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1A10>
0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F19A0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1930>
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F18C0>
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1850>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F17E0>
0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,0.0,TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1770>
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,TOX958,Nc1ccc([N+](=O)[O-])cc1N,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1700>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX14836,[I-].[K+],<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1690>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1620>
0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F15B0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX5391,C/C=C/C=C/C=O,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1540>
1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0,TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F14D0>
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5395,C[Si](C)(C)N[Si](C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F1460>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX4783,C=CC(=O)OCCCl,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F13F0>
0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,TOX12376,COCC(C)N(C(=O)CCl)c1c(C)csc1C,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F12A0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX25538,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,<rdkit.Chem.rdchem.Mol object at 0x00000234D85F11C0>
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX12375,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2D070>
0.0,0.0,0.0,,,,,1.0,,0.0,,,TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2D0E0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CF20>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CEB0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CE40>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CDD0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CD60>
1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CCF0>
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CC80>
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CC10>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CBA0>
,,,,,,,0.0,,0.0,,,TOX28630,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CB30>
0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0,TOX14792,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CAC0>
,,,,,,,0.0,,0.0,,,TOX28636,CNCC(=O)c1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2CA50>
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX24394,CC(C)(C)C1CCC(=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000234E1D2C9E0>
